Component,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
MOTOR A,0.12344891358110684,0.1288712978193666,0.15282227428105666,0.19359498025829627,0.23051929631896065,0.2745681308104842,0.3021800474650526,0.3247897076542977,0.3404996174814067,0.34693086662142797,0.3579790968444706,0.35721793100918536,0.3168472915162587,0.306639415503916,0.28383364209965484,0.2651842172186347,0.22195087476114464,0.1809357539356986,0.16330396322467705,0.14218920812931565,0.14053322143190652,0.12328798853822187,0.11753468760965333,0.12419911121089626
MOTOR B,0.08603045206922644,0.0836305719108283,0.08388908435104114,0.09640130523227829,0.09402547458212153,0.10022939806815334,0.09920769373296996,0.09157686264400454,0.09122523356166844,0.08794388353659961,0.08749238598677715,0.08748961513417959,0.09127553948347707,0.09016829485660063,0.09016324068263401,0.08917702155573072,0.08900835246140984,0.08872277349794351,0.08896265385041702,0.08792364066412499,0.08751535784852942,0.0856523404312847,0.08747603245115787,0.08686214426322791
MOTOR C,0.07644435144623465,0.06953251515324486,0.06425747638262887,0.06769898406813098,0.05950623229559364,0.06064387718315367,0.06091072040415066,0.06731626710904469,0.07486400783640855,0.07838465289152442,0.08237895137977781,0.08386663356817256,0.08186389990218527,0.08472247117462191,0.08601035433457496,0.08773848492228133,0.08832045289181259,0.08792649956237933,0.08875795407299067,0.08804358623579704,0.08951590006500618,0.08906692298492506,0.08745249853087199,0.08202341063244033
MOTOR D,0.4852883321746868,0.44187874141104855,0.38334180839266035,0.38172800694798903,0.26979163418782287,0.2156074987402697,0.15404287391272917,0.14363635576886585,0.16679804898721287,0.18075791079471462,0.19588366161469598,0.21195839968845298,0.25417872980218525,0.2862461751867962,0.3281335455278796,0.3624885159648148,0.421023698026109,0.4694041493655436,0.49347186580073904,0.5102634869566114,0.5148849045053725,0.5205246897599688,0.5303027457293531,0.5028014898043686
POWER ELECTRONICS,0.0985760115300514,0.12286394489095173,0.13599916610408908,0.09571787061534225,0.12408583343424953,0.1276075449194749,0.15458648289836838,0.16326849128823867,0.15499394779726586,0.15633063433700356,0.146958768442156,0.1415823042090012,0.13201429313921043,0.12533479504885794,0.1161484158978727,0.10833420136606102,0.09630043327269594,0.08318513836239166,0.07846832917189847,0.072803710819116,0.07114472890193746,0.06893861342441134,0.07111487204691648,0.07992321964463357
CONSTANT IMPEDANCE,0.07717284312194017,0.090331383032213,0.09801390220261198,0.05010032457569773,0.07752912351308464,0.07254565555768039,0.09497286583974633,0.10246631672694773,0.08455853529043647,0.07689591378854313,0.06237272690702161,0.05501764419889631,0.058304327871275534,0.050755092455674146,0.04613213682211052,0.04413138644296838,0.045990346088469324,0.05465393158282087,0.05076142438554375,0.05726274339659695,0.05644592548240352,0.07281540508331234,0.06463190395421983,0.07556115422545275
CONSTANT CURRENT,0.053039096076753785,0.06289154578234699,0.081676288285912,0.11475852830226561,0.14454240566816737,0.1487978947207838,0.1340993157469829,0.10694599880860083,0.08706060904560098,0.07275613803018659,0.06693440882510086,0.06286747219211213,0.06551591828540783,0.05613375577353321,0.0495786646352735,0.04294617252950893,0.037405842498358675,0.035171753693222306,0.03627380949373409,0.0415136237984379,0.03995996176484441,0.0397140397778758,0.04148725967782735,0.04862947021898066
