Location,Heat_Pump,Other_Electric_Heat,Cooling,Water_Heating,Cooking
Fredericton,0,0.67,0,0,0
Halifax,0,0.33,0,0,0
Ottawa,0,0.28,0,0,0
Quebec_City,0,0.77,0,0,0
Thunder_Bay,0,0.26,0,0,0
Sudbury,0,0.15,0,0,0
Montreal,0,0.77,0,0,0
Rouyn_Noranda,0,0.77,0,0,0
Toronto,0,0.15,0,0,0
SeptIles,0,0.77,0,0,0
Calgary,0,0.08,0,0,0
New_England,0.03,0.1,0.75,0.36,0.59
ME,0.03,0.1,0.75,0.36,0.59
VT,0.03,0.1,0.75,0.36,0.59
RI,0.03,0.1,0.75,0.36,0.59
NH,0.03,0.1,0.75,0.36,0.59
CT,0.03,0.1,0.75,0.36,0.59
MA,0.03,0.1,0.75,0.36,0.59
Middle_Atlantic,0.03,0.11,0.88,0.31,0.43
NY,0.03,0.11,0.88,0.31,0.43
NJ,0.03,0.11,0.88,0.31,0.43
PA,0.03,0.11,0.88,0.31,0.43
East_North_Central,0.03,0.17,0.92,0.34,0.57
OH,0.03,0.17,0.92,0.34,0.57
IN,0.03,0.17,0.92,0.34,0.57
IL,0.03,0.17,0.92,0.34,0.57
MI,0.03,0.17,0.92,0.34,0.57
WI,0.03,0.17,0.92,0.34,0.57
West_North_Central,0.04,0.18,0.92,0.4,0.75
MN,0.04,0.18,0.92,0.4,0.75
IA,0.04,0.18,0.92,0.4,0.75
MO,0.04,0.18,0.92,0.4,0.75
ND,0.04,0.18,0.92,0.4,0.75
SD,0.04,0.18,0.92,0.4,0.75
NE,0.04,0.18,0.92,0.4,0.75
KS,0.04,0.18,0.92,0.4,0.75
South_Atlantic,0.24,0.32,0.95,0.72,0.78
WV,0.24,0.32,0.95,0.72,0.78
VA,0.24,0.32,0.95,0.72,0.78
DE,0.24,0.32,0.95,0.72,0.78
MD,0.24,0.32,0.95,0.72,0.78
DC,0.24,0.32,0.95,0.72,0.78
NC,0.24,0.32,0.95,0.72,0.78
SC,0.24,0.32,0.95,0.72,0.78
GA,0.24,0.32,0.95,0.72,0.78
FL,0.24,0.32,0.95,0.72,0.78
East_South_Central,0.24,0.39,0.93,0.76,0.75
KY,0.24,0.39,0.93,0.76,0.75
TN,0.24,0.39,0.93,0.76,0.75
MS,0.24,0.39,0.93,0.76,0.75
AL,0.24,0.39,0.93,0.76,0.75
West_South_Central,0.08,0.45,0.95,0.58,0.71
AR,0.08,0.45,0.95,0.58,0.71
LA,0.08,0.45,0.95,0.58,0.71
OK,0.08,0.45,0.95,0.58,0.71
TX,0.08,0.45,0.95,0.58,0.71
Mountain,0.08,0.19,0.78,0.31,0.67
MT,0.08,0.19,0.78,0.31,0.67
WY,0.08,0.19,0.78,0.31,0.67
CO,0.08,0.19,0.78,0.31,0.67
NM,0.08,0.19,0.78,0.31,0.67
UT,0.08,0.19,0.78,0.31,0.67
AZ,0.08,0.19,0.78,0.31,0.67
NV,0.08,0.19,0.78,0.31,0.67
ID,0.08,0.19,0.78,0.31,0.67
Pacific,0.07,0.25,0.66,0.32,0.53
CA,0.07,0.25,0.66,0.32,0.53
OR,0.07,0.25,0.66,0.32,0.53
WA,0.07,0.25,0.66,0.32,0.53
AK,0.07,0.25,0.66,0.32,0.53
HI,0.07,0.25,0.66,0.32,0.53
