Location,Heat_Pump,Other_Electric_Heat,Cooling,Water_Heating_Cooking
Fredericton,0,0.78,0,0,0
Halifax,0,0.34,0,0,0
Ottawa,0,0.17,0,0,0
Quebec_City,0,0.62,0,0,0
Thunder_Bay,0,0.19,0,0,0
Sudbury,0,0.12,0,0,0
Montreal,0,0.62,0,0,0
Rouyn_Noranda,0,0.62,0,0,0
Toronto,0,0.12,0,0,0
SeptIles,0,0.62,0,0,0
Calgary,0,0.08,0,0,0
New_England,0.09,0.02,0.77,0.45,0.27
ME,0.09,0.02,0.77,0.45,0.27
NH,0.09,0.02,0.77,0.45,0.27
VT,0.09,0.02,0.77,0.45,0.27
MA,0.09,0.02,0.77,0.45,0.27
RI,0.09,0.02,0.77,0.45,0.27
CT,0.09,0.02,0.77,0.45,0.27
Middle_Atlantic,0.09,0.06,0.89,0.41,0.31
NY,0.09,0.06,0.89,0.41,0.31
NJ,0.09,0.06,0.89,0.41,0.31
PA,0.09,0.06,0.89,0.41,0.31
East_North_Central,0.05,0.08,0.9,0.39,0.33
OH,0.05,0.08,0.9,0.39,0.33
IN,0.05,0.08,0.9,0.39,0.33
MI,0.05,0.08,0.9,0.39,0.33
IL,0.05,0.08,0.9,0.39,0.33
WI,0.05,0.08,0.9,0.39,0.33
West_North_Central,0.07,0.14,0.87,0.49,0.32
MN,0.07,0.14,0.87,0.49,0.32
IO,0.07,0.14,0.87,0.49,0.32
MO,0.07,0.14,0.87,0.49,0.32
ND,0.07,0.14,0.87,0.49,0.32
SD,0.07,0.14,0.87,0.49,0.32
NE,0.07,0.14,0.87,0.49,0.32
KS,0.07,0.14,0.87,0.49,0.32
South_Atlantic,0.27,0.2,0.91,0.62,0.3
WV,0.27,0.2,0.91,0.62,0.3
VA,0.27,0.2,0.91,0.62,0.3
DE,0.27,0.2,0.91,0.62,0.3
MD,0.27,0.2,0.91,0.62,0.3
DC,0.27,0.2,0.91,0.62,0.3
NC,0.27,0.2,0.91,0.62,0.3
SC,0.27,0.2,0.91,0.62,0.3
GA,0.27,0.2,0.91,0.62,0.3
FL,0.27,0.2,0.91,0.62,0.3
East_South_Central,0.17,0.23,0.88,0.59,0.31
KY,0.17,0.23,0.88,0.59,0.31
TN,0.17,0.23,0.88,0.59,0.31
MS,0.17,0.23,0.88,0.59,0.31
AL,0.17,0.23,0.88,0.59,0.31
West_South_Central,0.1,0.3,0.81,0.47,0.25
AR,0.1,0.3,0.81,0.47,0.25
LA,0.1,0.3,0.81,0.47,0.25
OK,0.1,0.3,0.81,0.47,0.25
TX,0.1,0.3,0.81,0.47,0.25
Mountain,0.1,0.13,0.84,0.4,0.31
MT,0.1,0.13,0.84,0.4,0.31
WY,0.1,0.13,0.84,0.4,0.31
ID,0.1,0.13,0.84,0.4,0.31
NV,0.1,0.13,0.84,0.4,0.31
UT,0.1,0.13,0.84,0.4,0.31
CO,0.1,0.13,0.84,0.4,0.31
AZ,0.1,0.13,0.84,0.4,0.31
NM,0.1,0.13,0.84,0.4,0.31
Pacific,0.15,0.21,0.88,0.51,0.22
CA,0.15,0.21,0.88,0.51,0.22
OR,0.15,0.21,0.88,0.51,0.22
WA,0.15,0.21,0.88,0.51,0.22
AK,0.15,0.21,0.88,0.51,0.22
HI,0.15,0.21,0.88,0.51,0.22
