Category,Values
Cities,ABI ALB AMA ATL AUS BDL BDR BFL BNA BOS BTW BUF BWI CHS CLE CLT CRP CRW CYS DEN DFW DLH DTW ECG FAR GAI GEI GRB IAH JAX LAX LIT MAG MCI MIA MKE MSG MSP MSY NYC OKC OMA ONT ORG ORH PDX PHL PHX PIT PSP PVD PWM RST SAT SDF SEA SFO SLC SMF SPS STL SYR TYR YFC YHZ YOW YQB YQT YSB YUL YUY YYC YYZ YZV
Feeder,residential commercial mixed rural
Season,summer winter spring
Intermediate Results,weather loadshape
