Hour,MOTOR A,MOTOR B,MOTOR C,MOTOR D,POWER ELECTRONICS,CONSTANT IMPEDANCE,CONSTANT CURRENT
0,0.1500249239774405,0.08356449136382064,0.06568865619203808,0.3743170492350603,0.13127770488665305,0.10839579122259582,0.08673138312239158
1,0.15427327302189014,0.08192110377650731,0.05890013257770771,0.3411240642464744,0.15256951852860817,0.11623517937836388,0.09497672847044844
2,0.16993952981556337,0.08388961964777152,0.05489464709320136,0.30316551106796263,0.1574365449978262,0.11754236377822457,0.11313178359945032
3,0.20643265287742477,0.09708034346464439,0.058303075261945184,0.3073147269735463,0.11541590042330818,0.06872090083954846,0.14673240015958283
4,0.22956370918290078,0.09541919009212195,0.052933095777567184,0.22841429796085827,0.1344487895571342,0.09119767459658808,0.1680232428328296
5,0.27374184505696475,0.10197525105438127,0.05543636273032055,0.1817756778174065,0.1357450571852045,0.08475919378914869,0.1665666123665737
6,0.3025909018412292,0.10103051303906464,0.05767537833254665,0.12972064476168013,0.15971189198424507,0.10326190661147523,0.14600876342975908
7,0.323421520528708,0.09453390296665248,0.06338994723763013,0.11212959655681914,0.16891722632837922,0.1147330940239691,0.12287471235784202
8,0.34538440453349184,0.0937263355461191,0.071053913678247,0.12685965649003084,0.16312405929376805,0.09749027370817263,0.10236135675017048
9,0.3577466077260609,0.09034751362443373,0.07456631299195238,0.1314732211016037,0.1666754701486534,0.09063969025024986,0.08855118415704606
10,0.3704184280583624,0.09009054860131906,0.07841534608008242,0.1414300476838431,0.15828799918451344,0.07738556191307065,0.08397206847880899
11,0.37347353166364206,0.09001435008780317,0.07947071145580993,0.146863460281201,0.15533946277011162,0.07297424696503922,0.08186423677639315
12,0.3691761802892105,0.0897721146938985,0.07887555022217439,0.15725176263658833,0.15412224188832493,0.07145415046349124,0.07934799980631217
13,0.35479228343816116,0.09017203380271084,0.08039382210802878,0.1823736845205075,0.14879658545459667,0.06842389049364692,0.07504770018234805
14,0.33445461376506036,0.09143971213473186,0.07967774268631848,0.20297616966953755,0.14348136220409557,0.07222808313350541,0.0757423164067508
15,0.30599463332040494,0.0909981297617833,0.08135713587281351,0.249524288109781,0.13321926695946715,0.07064285086414825,0.06826369511160185
16,0.2654311413964295,0.09018883135509098,0.08172671795528691,0.30147125788965035,0.12227789028105007,0.07513887382947552,0.06376528729301666
17,0.22203431149573188,0.08889570023769143,0.08157189140977643,0.3535717707387526,0.10847571466289586,0.08329782609593764,0.062152785359214154
18,0.19879368318413856,0.0879166222327486,0.08184968288428938,0.37934101568956136,0.10219769828899676,0.08564726131785785,0.06425403640240752
19,0.17516101876132634,0.08635861726624625,0.08270443442621421,0.4140770038578016,0.09489569030019301,0.08150451348641048,0.06529872190180823
20,0.16964324570017397,0.0853163491727667,0.08354446672293973,0.41212577261221217,0.09400835454578102,0.08894384357480481,0.06641796767132174
21,0.14917327428057484,0.08329346308572326,0.08412613097024828,0.4252581805729046,0.09210254641421663,0.1013808755504611,0.06466552912587134
22,0.1409844872715971,0.08452705817780179,0.08138703727762998,0.436536381567585,0.09386492813881864,0.09667628331068401,0.06602382425588338
23,0.14886919775272997,0.0852955199633141,0.07542063073556589,0.41391288473734245,0.10420066757474983,0.09680615924258251,0.07549493999371536
