Component,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
MOTOR A,0.09261806485434726,0.09738597100544122,0.1335816178308864,0.18177675521583997,0.24950223387558554,0.2917364464000015,0.3261837979148386,0.3298075831119302,0.3364995548889272,0.32754846623777617,0.33379526576745694,0.32063033921798834,0.2679173802884935,0.2602124904445832,0.23786830434740666,0.21841715675691595,0.18254347051046077,0.15220612245285575,0.134185846921977,0.11448682709491638,0.11279305349501491,0.09997754705587468,0.09603983046955639,0.10164717498344873
MOTOR B,0.08998103089890848,0.08739768966617552,0.0853654549557388,0.09532920292786543,0.09141780803355017,0.09653923313262759,0.09388422766187872,0.0868675597548345,0.08719643992494835,0.0852268257135729,0.08545774488307095,0.08651274894606996,0.09114461218489558,0.09031333553143962,0.09063576944660123,0.09035067924833212,0.09058803037864291,0.09047571700732576,0.09076502615626475,0.090341506335119,0.0900937075510432,0.08899590029161938,0.09016161667117988,0.08987211928688321
MOTOR C,0.0852772769190049,0.08017336944660766,0.07300225847048551,0.07564123203262303,0.06452381627529959,0.06728180913518744,0.06723919096980642,0.07335125631144537,0.08038470117549185,0.0833532915699096,0.0864525054538919,0.08771051413188957,0.08601183539943245,0.08820872228010733,0.08928990256222022,0.09051105219034616,0.0907848666029301,0.09005232190886707,0.09087076586522004,0.09151725526222565,0.09281677068892205,0.09283335410173839,0.09160785512773605,0.08824757025557724
MOTOR D,0.5852330857334296,0.5502997434487794,0.46259576226253313,0.44396258509189906,0.27896295569911145,0.23883075576534582,0.1728229138205657,0.18784850567494085,0.22064682428448448,0.25070975890580266,0.26497247686073033,0.2939653660267782,0.3515087919116268,0.37481268290568326,0.41319755451244766,0.444978772076029,0.49140549497010844,0.5225355092545036,0.5486251010928915,0.5777223678032581,0.5844799453155046,0.5922613093134151,0.5993182025311878,0.5817792552367171
POWER ELECTRONICS,0.06799728698841784,0.08685017766996227,0.11135456266660602,0.08024062795044815,0.12124225791538251,0.12134893748388467,0.15248413843531097,0.15487432024475586,0.14370518434466337,0.1401130405541652,0.1310690461583171,0.12241729101409717,0.10866578770714094,0.10367067898045408,0.09492839747975887,0.08746820739097075,0.07746635565111434,0.06852780532127868,0.06294618830179864,0.05607341037299025,0.05415750975370265,0.05210355946289927,0.05346696167908272,0.05993241287947117
CONSTANT IMPEDANCE,0.04718017168303369,0.060688963492590724,0.0767675480962664,0.03612000850468657,0.06837412636872725,0.05883864937375067,0.07744224705436978,0.08434466932599037,0.06669142142251687,0.06014135726492995,0.048546183775851556,0.042105361510425016,0.04545712225229817,0.04010836107711391,0.036418598376780666,0.03532760137689099,0.03773436714385426,0.046522052544214355,0.04304579776103016,0.04054401161065741,0.038561339374268325,0.04760487928425604,0.04280438924751607,0.047914839654475905
CONSTANT CURRENT,0.03171308292285827,0.03720408527044313,0.05733279571748388,0.08692958827663785,0.1259768018323434,0.12542416870920228,0.10994348414322981,0.08290610557610284,0.06487587395896809,0.05290725975384358,0.049706777100681034,0.04665837915275181,0.04929447025611263,0.042673728780618585,0.03766147327478478,0.032946530960515016,0.029477414742889264,0.029680471510954664,0.02956127390081791,0.02931462152083299,0.02709767382154421,0.02622345049019713,0.0266011442737412,0.03060662770342667
