,A1,A6,A10,E19V,E19S,E19P,E20S,E20P,E20T,STBY,S1S,S1M,S9M,S19,S20,E1,RES
2020-03-01 00:00:30,1.5425,8.9915,16.6476,35.7377,208.6896,294.5316,515.4743,1055.0755,4056.0613,565.2421,565.2421,565.2421,565.2421,565.2421,565.2421,0.6338,0.6338
2020-03-01 01:00:00,1.5165,8.9402,16.389,35.2682,207.4861,290.8871,512.5321,1047.1026,4067.5822,558.8577,558.8577,558.8577,558.8577,558.8577,558.8577,0.6089,0.6089
2020-03-01 01:00:30,1.5012,8.9072,16.1984,34.924,206.3443,287.3454,511.8922,1046.2436,4033.275,556.3951,556.3951,556.3951,556.3951,556.3951,556.3951,0.59,0.59
2020-03-01 02:00:00,1.4943,8.7151,15.9508,34.7112,204.9435,289.8539,510.0647,1037.6577,4034.3774,549.5695,549.5695,549.5695,549.5695,549.5695,549.5695,0.5682,0.5682
2020-03-01 02:00:30,1.4828,8.5639,15.8702,34.5006,204.9002,288.9284,508.9311,1036.8275,4033.9738,546.0984,546.0984,546.0984,546.0984,546.0984,546.0984,0.5678,0.5678
2020-03-01 03:00:00,1.4718,8.2765,15.7688,34.1419,204.7321,288.7023,509.2341,1034.66,4020.1402,549.0465,549.0465,549.0465,549.0465,549.0465,549.0465,0.5541,0.5541
2020-03-01 03:00:30,1.4719,8.5103,15.7145,34.1809,204.5531,287.5904,511.3332,1032.1215,3977.6411,540.7643,540.7643,540.7643,540.7643,540.7643,540.7643,0.5577,0.5577
2020-03-01 04:00:00,1.4728,8.4922,15.6902,34.1149,205.1119,288.0488,511.0188,1027.447,3953.8103,550.2975,550.2975,550.2975,550.2975,550.2975,550.2975,0.5512,0.5512
2020-03-01 04:00:30,1.4801,8.7946,15.7517,34.3864,206.0423,288.5376,510.3423,1025.34,3947.0484,544.297,544.297,544.297,544.297,544.297,544.297,0.5573,0.5573
2020-03-01 05:00:00,1.4992,8.9076,15.9804,34.9068,206.9952,289.5848,511.9843,1026.9369,3952.0785,544.7845,544.7845,544.7845,544.7845,544.7845,544.7845,0.5609,0.5609
2020-03-01 05:00:30,1.5308,9.0431,16.4294,35.592,209.806,292.4297,514.1364,1032.4582,3973.8859,546.0127,546.0127,546.0127,546.0127,546.0127,546.0127,0.5757,0.5757
2020-03-01 06:00:00,1.5618,9.4657,16.7205,36.3844,211.6411,291.3838,514.2655,1034.863,3982.1224,543.3515,543.3515,543.3515,543.3515,543.3515,543.3515,0.5916,0.5916
2020-03-01 06:00:30,1.5946,9.2727,17.1768,37.5377,215.348,292.5536,521.5541,1043.5859,3955.6319,567.775,567.775,567.775,567.775,567.775,567.775,0.6151,0.6151
2020-03-01 07:00:00,1.5756,8.7777,17.2276,37.2853,215.3852,286.0888,525.5338,1040.5397,3944.2462,546.8231,546.8231,546.8231,546.8231,546.8231,546.8231,0.6632,0.6632
2020-03-01 07:00:30,1.5536,7.5671,17.5024,37.1057,214.4911,279.7914,525.7911,1031.9671,3931.7576,548.6864,548.6864,548.6864,548.6864,548.6864,548.6864,0.6968,0.6968
2020-03-01 08:00:00,1.5505,6.7964,17.6162,37.4475,212.5089,276.9156,524.2753,1020.9142,3894.1416,542.6565,542.6565,542.6565,542.6565,542.6565,542.6565,0.6957,0.6957
2020-03-01 08:00:30,1.5942,6.1509,18.0762,38.0307,213.6558,271.7868,525.6779,1014.4499,3857.9502,574.6788,574.6788,574.6788,574.6788,574.6788,574.6788,0.7369,0.7369
2020-03-01 09:00:00,1.6383,5.7308,18.3839,38.3043,212.6841,269.5514,524.9733,1006.9168,3832.3414,566.8423,566.8423,566.8423,566.8423,566.8423,566.8423,0.7729,0.7729
2020-03-01 09:00:30,1.6904,5.3095,18.7197,38.5323,211.9694,269.3809,528.4449,1003.4681,3820.3296,570.9188,570.9188,570.9188,570.9188,570.9188,570.9188,0.7789,0.7789
2020-03-01 10:00:00,1.7252,5.1637,19.0188,38.827,211.8683,269.3125,531.5373,1002.1301,3800.218,578.0798,578.0798,578.0798,578.0798,578.0798,578.0798,0.7658,0.7658
2020-03-01 10:00:30,1.8006,5.2457,19.4338,39.0849,212.4276,275.7997,532.3036,1001.9016,3825.7673,575.4681,575.4681,575.4681,575.4681,575.4681,575.4681,0.7787,0.7787
2020-03-01 11:00:00,1.8102,4.8812,19.5833,39.4372,213.7349,273.673,537.6949,1001.5466,3815.0243,561.3972,561.3972,561.3972,561.3972,561.3972,561.3972,0.7558,0.7558
2020-03-01 11:00:30,1.8479,4.6797,20.0467,39.5365,215.2393,271.4704,536.4989,1000.6917,3818.834,568.0979,568.0979,568.0979,568.0979,568.0979,568.0979,0.7636,0.7636
2020-03-01 12:00:00,1.8458,4.552,20.3264,39.591,214.9202,272.843,536.6903,1002.0375,3823.3228,569.1009,569.1009,569.1009,569.1009,569.1009,569.1009,0.7575,0.7575
2020-03-01 12:00:30,1.862,4.3518,20.2269,39.6464,214.4765,273.6166,534.8345,1006.1623,3836.3153,572.4536,572.4536,572.4536,572.4536,572.4536,572.4536,0.7559,0.7559
2020-03-01 13:00:00,1.8421,4.1534,20.1897,39.6534,215.4101,275.7006,533.8929,1008.1494,3831.238,586.1348,586.1348,586.1348,586.1348,586.1348,586.1348,0.7448,0.7448
2020-03-01 13:00:30,1.8481,4.2213,20.16,39.533,216.0022,276.5119,537.7179,1008.5939,3864.1407,571.0213,571.0213,571.0213,571.0213,571.0213,571.0213,0.7254,0.7254
2020-03-01 14:00:00,1.8256,4.1492,20.2054,39.5845,217.499,279.1186,537.9314,1009.4319,3910.4082,586.6338,586.6338,586.6338,586.6338,586.6338,586.6338,0.719,0.719
2020-03-01 14:00:30,1.8226,4.0879,20.1974,39.6828,218.4267,278.3405,540.6436,1012.5618,3927.4152,580.2314,580.2314,580.2314,580.2314,580.2314,580.2314,0.703,0.703
2020-03-01 15:00:00,1.8197,4.3902,20.1356,39.5897,220.5219,283.4766,539.1464,1025.8395,3916.0941,543.6823,543.6823,543.6823,543.6823,543.6823,543.6823,0.7177,0.7177
2020-03-01 15:00:30,1.8265,4.3716,19.9372,39.563,222.3469,286.3213,539.0911,1031.8026,3950.0438,553.0185,553.0185,553.0185,553.0185,553.0185,553.0185,0.743,0.743
2020-03-01 16:00:00,1.8179,4.5034,19.8285,39.4253,222.9649,287.4991,539.1281,1035.6481,3960.1923,535.8141,535.8141,535.8141,535.8141,535.8141,535.8141,0.7595,0.7595
2020-03-01 16:00:30,1.8052,4.6343,19.5338,39.154,223.5201,291.6217,537.6491,1043.1728,4001.2567,550.1728,550.1728,550.1728,550.1728,550.1728,550.1728,0.7757,0.7757
2020-03-01 17:00:00,1.7928,5.4847,19.7159,39.5209,227.7448,297.0365,540.0661,1056.0777,4008.9136,536.9224,536.9224,536.9224,536.9224,536.9224,536.9224,0.807,0.807
2020-03-01 17:00:30,1.7929,6.6756,19.8875,39.9696,230.6626,307.0803,541.6785,1069.3063,4049.7778,541.2407,541.2407,541.2407,541.2407,541.2407,541.2407,0.8632,0.8632
2020-03-01 18:00:00,1.8414,8.4217,19.8706,40.3147,233.5418,316.9405,540.243,1085.9174,4091.9192,547.2475,547.2475,547.2475,547.2475,547.2475,547.2475,0.9427,0.9427
2020-03-01 18:00:30,1.9381,9.5378,20.4041,41.4089,234.7418,322.4211,536.0786,1091.9215,4113.6516,554.4727,554.4727,554.4727,554.4727,554.4727,554.4727,1.048,1.048
2020-03-01 19:00:00,1.9434,10.0151,20.3975,41.5417,233.9018,325.0087,534.5544,1093.5428,4113.462,555.2821,555.2821,555.2821,555.2821,555.2821,555.2821,1.0751,1.0751
2020-03-01 19:00:30,1.9235,9.9812,19.9119,41.1869,231.2878,323.3749,529.4318,1094.0266,4102.2619,561.2816,561.2816,561.2816,561.2816,561.2816,561.2816,1.078,1.078
2020-03-01 20:00:00,1.8915,10.6666,19.41,40.6654,229.5913,323.1044,527.2232,1093.0692,4065.5042,556.6814,556.6814,556.6814,556.6814,556.6814,556.6814,1.084,1.084
2020-03-01 20:00:30,1.8575,10.5644,18.8967,40.0586,226.4594,320.5774,526.9322,1088.2822,4065.1055,557.4772,557.4772,557.4772,557.4772,557.4772,557.4772,1.0792,1.0792
2020-03-01 21:00:00,1.8004,10.2502,18.5449,39.6578,224.6122,317.967,523.1,1084.3988,4066.2663,555.4149,555.4149,555.4149,555.4149,555.4149,555.4149,1.0383,1.0383
2020-03-01 21:00:30,1.7495,10.3961,17.9877,38.9716,223.2282,314.8338,521.2811,1088.86,4102.1884,550.3295,550.3295,550.3295,550.3295,550.3295,550.3295,0.9781,0.9781
2020-03-01 22:00:00,1.6882,10.4763,17.7476,38.4304,221.5926,314.1689,520.6443,1092.3118,4076.1879,554.6693,554.6693,554.6693,554.6693,554.6693,554.6693,0.9084,0.9084
2020-03-01 22:00:30,1.6426,10.474,17.5211,37.7595,217.9847,313.7241,519.7738,1087.085,4068.6067,554.3096,554.3096,554.3096,554.3096,554.3096,554.3096,0.8579,0.8579
2020-03-01 23:00:00,1.6153,9.9365,17.2473,36.7861,215.4587,310.5756,519.8088,1085.5368,4073.1748,546.0844,546.0844,546.0844,546.0844,546.0844,546.0844,0.8027,0.8027
2020-03-01 23:00:30,1.5804,9.5714,16.9515,36.2612,213.0103,311.82,519.2103,1082.6143,4109.9739,566.5377,566.5377,566.5377,566.5377,566.5377,566.5377,0.7452,0.7452
2020-03-01 00:00:00,1.5623,10.0155,16.7093,35.7312,211.1128,308.9493,516.316,1075.6316,4111.1001,567.0934,567.0934,567.0934,567.0934,567.0934,567.0934,0.6887,0.6887
2020-03-02 00:00:30,1.528,9.2181,16.4118,35.4034,210.9726,308.0754,512.8344,1083.3611,4116.805,364.7598,364.7598,364.7598,364.7598,364.7598,364.7598,0.6655,0.6655
2020-03-02 01:00:00,1.5186,8.8933,16.2332,35.0974,210.4489,307.1219,513.1555,1074.2855,4121.1542,369.3798,369.3798,369.3798,369.3798,369.3798,369.3798,0.6482,0.6482
2020-03-02 01:00:30,1.504,8.7571,16.3793,34.6737,211.1458,306.4043,515.6814,1082.0467,4115.7769,357.1907,357.1907,357.1907,357.1907,357.1907,357.1907,0.6334,0.6334
2020-03-02 02:00:00,1.4838,9.0239,16.3744,34.4255,211.495,305.8397,513.4829,1076.2655,4083.8734,362.2756,362.2756,362.2756,362.2756,362.2756,362.2756,0.6146,0.6146
2020-03-02 02:00:30,1.4924,9.0479,16.5367,34.5653,213.1181,305.3848,515.8687,1070.1956,4097.5265,362.9473,362.9473,362.9473,362.9473,362.9473,362.9473,0.6175,0.6175
2020-03-02 03:00:00,1.4927,9.0753,16.5746,34.5913,212.54,304.0419,520.9235,1073.6641,4075.777,361.5534,361.5534,361.5534,361.5534,361.5534,361.5534,0.608,0.608
2020-03-02 03:00:30,1.5206,9.3246,16.8333,34.7557,215.8684,304.8567,526.7043,1077.2156,4102.3139,359.2241,359.2241,359.2241,359.2241,359.2241,359.2241,0.6051,0.6051
2020-03-02 04:00:00,1.5228,9.2721,17.3589,34.9877,221.5974,306.7212,536.0598,1081.2321,4130.9192,356.9509,356.9509,356.9509,356.9509,356.9509,356.9509,0.6063,0.6063
2020-03-02 04:00:30,1.5523,9.6207,18.4192,36.0891,230.3132,314.8422,551.7733,1096.3892,4175.4627,367.1661,367.1661,367.1661,367.1661,367.1661,367.1661,0.614,0.614
2020-03-02 05:00:00,1.5983,10.2507,19.1297,36.9392,238.8515,324.805,570.5408,1118.2865,4199.934,356.176,356.176,356.176,356.176,356.176,356.176,0.6321,0.6321
2020-03-02 05:00:30,1.7104,11.7256,21.0984,38.4596,252.2328,336.9877,603.2388,1151.5996,4260.3972,354.2472,354.2472,354.2472,354.2472,354.2472,354.2472,0.6679,0.6679
2020-03-02 06:00:00,1.7786,12.8172,23.0847,39.5786,264.3136,347.7013,632.6126,1178.5764,4326.6456,353.4408,353.4408,353.4408,353.4408,353.4408,353.4408,0.7097,0.7097
2020-03-02 06:00:30,2.0179,15.0332,25.9916,41.8205,283.2584,366.2595,673.9861,1225.4,4395.7335,357.9691,357.9691,357.9691,357.9691,357.9691,357.9691,0.7814,0.7814
2020-03-02 07:00:00,2.1305,16.013,27.8832,42.1804,293.9204,370.7695,707.8229,1241.3871,4418.0174,336.5825,336.5825,336.5825,336.5825,336.5825,336.5825,0.8437,0.8437
2020-03-02 07:00:30,2.1893,16.5174,30.1001,43.0706,301.8121,373.0045,732.2102,1251.689,4424.0864,348.5935,348.5935,348.5935,348.5935,348.5935,348.5935,0.8364,0.8364
2020-03-02 08:00:00,2.4053,16.2793,32.6164,43.9032,307.4746,377.8572,751.0235,1257.2009,4390.1551,362.0343,362.0343,362.0343,362.0343,362.0343,362.0343,0.7851,0.7851
2020-03-02 08:00:30,2.6712,14.1358,34.3212,45.1024,312.9605,378.3692,764.66,1260.7418,4364.541,351.4725,351.4725,351.4725,351.4725,351.4725,351.4725,0.7294,0.7294
2020-03-02 09:00:00,2.7459,12.7024,35.2913,45.9123,314.9529,367.3253,782.0644,1263.6155,4413.359,348.6836,348.6836,348.6836,348.6836,348.6836,348.6836,0.6762,0.6762
2020-03-02 09:00:30,2.8687,11.2288,35.5788,46.2016,318.4727,363.159,796.9102,1279.1285,4414.1623,352.3348,352.3348,352.3348,352.3348,352.3348,352.3348,0.6482,0.6482
2020-03-02 10:00:00,2.8899,10.0034,36.2402,47.1707,321.0657,367.4987,806.5088,1283.2053,4418.4703,355.222,355.222,355.222,355.222,355.222,355.222,0.6257,0.6257
2020-03-02 10:00:30,2.9417,9.1321,37.2692,47.4168,325.4862,369.0,812.3648,1284.6682,4426.575,345.8023,345.8023,345.8023,345.8023,345.8023,345.8023,0.6036,0.6036
2020-03-02 11:00:00,2.9253,8.8571,37.8369,47.7402,327.9158,371.4811,820.7846,1301.7022,4423.2244,359.2512,359.2512,359.2512,359.2512,359.2512,359.2512,0.5958,0.5958
2020-03-02 11:00:30,2.8997,8.5256,37.9998,47.932,331.047,374.4485,826.6439,1305.8134,4435.0582,356.0624,356.0624,356.0624,356.0624,356.0624,356.0624,0.6015,0.6015
2020-03-02 12:00:00,2.8919,8.2484,37.9256,48.0783,335.4848,373.2436,833.1844,1308.9652,4498.3963,353.9326,353.9326,353.9326,353.9326,353.9326,353.9326,0.5826,0.5826
2020-03-02 12:00:30,2.8571,7.7156,38.0741,48.5778,334.6917,367.5977,834.6543,1310.6153,4540.2419,363.021,363.021,363.021,363.021,363.021,363.021,0.5672,0.5672
2020-03-02 13:00:00,2.8852,7.7183,38.3875,48.5602,337.8377,365.943,840.1702,1317.4985,4509.6388,358.1284,358.1284,358.1284,358.1284,358.1284,358.1284,0.5619,0.5619
2020-03-02 13:00:30,2.8617,6.8723,38.5197,48.8158,339.3464,369.1802,844.6499,1319.3912,4465.6826,349.5433,349.5433,349.5433,349.5433,349.5433,349.5433,0.5617,0.5617
2020-03-02 14:00:00,2.8397,6.5078,38.3361,49.0097,341.6657,372.3414,848.3963,1325.2152,4438.4914,357.1712,357.1712,357.1712,357.1712,357.1712,357.1712,0.5526,0.5526
2020-03-02 14:00:30,2.8645,6.5081,38.038,49.2008,341.8243,372.7113,846.6145,1320.0693,4422.4778,362.2213,362.2213,362.2213,362.2213,362.2213,362.2213,0.5288,0.5288
2020-03-02 15:00:00,2.8074,6.4562,37.518,49.187,341.2034,368.0036,835.8352,1322.941,4373.5394,356.002,356.002,356.002,356.002,356.002,356.002,0.5452,0.5452
