Hour,MOTOR A,MOTOR B,MOTOR C,MOTOR D,POWER ELECTRONICS,CONSTANT IMPEDANCE,CONSTANT CURRENT
0,0.14810918953708543,0.08249509520754451,0.036639134493710646,0.1475299604210975,0.1758924064566378,0.21390616553837138,0.1954280483455527
1,0.14744513548691848,0.08389049193279202,0.03082576853079973,0.15181636584325078,0.18206174777386583,0.20671757202136645,0.19724291841100675
2,0.1497248733375497,0.08674305967699958,0.029331444496197696,0.15397116793921903,0.17618120115908067,0.19891831336635077,0.20512994002460264
3,0.15326533958352867,0.09325741280880823,0.02901107851378595,0.16261822066106685,0.15466704294542158,0.187731723199185,0.2194491822882035
4,0.14460375295381858,0.0927397292649531,0.029917199245750998,0.16775025618507308,0.13877611107682147,0.21052723423735328,0.21568571703622952
5,0.15847766096722843,0.10245521243586841,0.03340448734485312,0.15987417758152025,0.14077278241067,0.19724395700371966,0.20777172225614013
6,0.17625784264339894,0.10550641191727005,0.03922883543267121,0.13220545065176256,0.1402947515192057,0.21744043006281624,0.18906627777287532
7,0.1755360302789605,0.1057043348396784,0.042299600103734014,0.1122790514873636,0.13540245584938376,0.2488169664070882,0.1799615610337916
8,0.20553393885932497,0.10822670571970866,0.04642971024297836,0.08347206897203474,0.14414112589277056,0.23236212939197287,0.1798343209212098
9,0.2345935313139686,0.10951939996783797,0.05195384324052156,0.07099104594316077,0.15079490100743503,0.20975438881785963,0.17239288970921637
10,0.2586416470747379,0.10931218788304675,0.056743715055369334,0.06566001035439052,0.15576307389991484,0.18821352505857694,0.16566584067396362
11,0.2762632212883004,0.10644844980461653,0.05991141418452891,0.05781107663764821,0.15973428158832373,0.1811847652948541,0.15864679120172823
12,0.2929836156176166,0.10500722734622996,0.06120014574965233,0.05530323232722792,0.16310095267488298,0.1686702440014122,0.15373458228297798
13,0.3045386666723584,0.10487233602766215,0.06275247339927884,0.05388544397907931,0.16418863730513505,0.15895214195090154,0.1508103006655848
14,0.30456988162943693,0.10641125081254957,0.0620102723716329,0.05345878015648417,0.16468335978586476,0.1566852244514898,0.15218123079254167
15,0.29063267484662453,0.10587872549390026,0.061574792132586764,0.06136295950429574,0.162631782561893,0.16600345670955804,0.1519156087511418
16,0.27603688623646694,0.10262685423092224,0.06116599812404747,0.0695734384229429,0.1582426885793823,0.18059256080147382,0.1517615736047643
17,0.23244491507027323,0.09711088639471627,0.0588495508996161,0.09370445999023923,0.14457250966756616,0.21004814927095428,0.16326952870663475
18,0.21001202155578988,0.09266022893230717,0.05760828818491219,0.10541304013763611,0.1381452947967069,0.2241004286052,0.17206069778744784
19,0.19498476716073168,0.09018944252448237,0.05611591425198325,0.10841714521739933,0.1406445147436524,0.2261350681925641,0.18351314790918688
20,0.17951069161166758,0.08622350726801317,0.05684589628583716,0.09811473146966655,0.14455610553641368,0.24635150020447602,0.18839756762392582
21,0.1592196755454366,0.08170822835422727,0.058174236470473956,0.10613606131892746,0.14999433659655248,0.26045626374069253,0.18431119797368967
22,0.1494235879475532,0.07997591740379423,0.05505597667969934,0.12757528543287652,0.150768124170586,0.24963795070592468,0.187563157659566
23,0.15017642832181205,0.082772486925903,0.04617951153564791,0.14060859686298616,0.15357862124408644,0.22916136860752376,0.1975229865020407
