Component,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
MOTOR A,0.07160904022744412,0.07433135511337702,0.07042136860743617,0.06706907798240429,0.06017193100960958,0.04881859152505554,0.04178042346694449,0.040193809363221464,0.04015861892278886,0.044025981607248584,0.04375052249829774,0.04411738480985688,0.04967291349428748,0.04934504733945905,0.05335685032820238,0.0553336687666973,0.05001716578873364,0.049298232595356505,0.044686538224544825,0.047289290492509406,0.04798478560154581,0.0500241234771497,0.061544882040657146,0.0671644960429341
MOTOR B,0.05914983487522219,0.06139094652517718,0.061005615740109626,0.06365278574709074,0.06689579529335339,0.06056374744415172,0.05581992748621719,0.06407213910784047,0.07058948462199595,0.0779196263506376,0.08136537361353399,0.08173936414390837,0.08552278553770143,0.08680270881931976,0.0898341498801537,0.08988256399638611,0.08565562531148943,0.07604333743755988,0.07270376207019458,0.07644786056240957,0.07311520164793275,0.07185888438990652,0.0643611157069717,0.06276491890489608
MOTOR C,0.029718844500552778,0.026692848237068294,0.02707493562583589,0.03025766950041661,0.03503621519308954,0.03760942889357898,0.0370372512372777,0.03596552083183045,0.03238962039026642,0.03170008511781649,0.03168838417179065,0.03492993466463672,0.038357283721760144,0.0375171500310387,0.03796362213276585,0.03982278515559851,0.038861767941188584,0.03778267899498788,0.036154477138647834,0.03622686238658346,0.03900366349010829,0.039595956356991466,0.04123980184795851,0.035377539565313754
MOTOR D,0.1552262604562736,0.16647041653501396,0.19234253994886813,0.22877184895807945,0.26911532947552314,0.2988249207552147,0.2682323088750433,0.23746617437268744,0.19950340360480961,0.16422694087810602,0.14853811055454177,0.13787698618489458,0.13627669510264082,0.14034374432592017,0.1473821414460812,0.16537565724549902,0.1606328027821059,0.1405686805073733,0.14156824613908525,0.1475583718927751,0.15574076015319527,0.1585248107087645,0.14845006757188262,0.15124504810738015
POWER ELECTRONICS,0.13750356164677166,0.13082031277625616,0.12179690042351922,0.10280971615736047,0.10587847274256754,0.05426174881441592,0.06558538790265922,0.06831422073008414,0.08091519039437739,0.09212461375781766,0.0986377170655853,0.09926105621495965,0.099802950777344,0.10645610705001043,0.108715076629038,0.10231253614676968,0.10134588170538833,0.09972017219686499,0.0981125132702609,0.10196574311068668,0.10348494214447458,0.10383657700219286,0.11350785272240628,0.11888563165296595
CONSTANT IMPEDANCE,0.3927700166369545,0.3887426097874106,0.3873653177867332,0.37970066441432787,0.3451539712596341,0.4235797144091813,0.46216811007091724,0.4658912803636376,0.4558755352178033,0.45108401613228627,0.45433664614861186,0.4568112044854366,0.4364954221554177,0.42217667977951456,0.40596988982378335,0.39603221004971234,0.41719809124307217,0.44181667001145997,0.44622749702730025,0.43120310937760203,0.42126188549868865,0.419547818189614,0.40861942176180666,0.39605371743582735
CONSTANT CURRENT,0.15402244165678122,0.1515515110256969,0.1399933218674978,0.12773823724032063,0.11774828502622271,0.07634184815840186,0.06937659096094095,0.0880968552306984,0.1205681468479584,0.1389187361560874,0.14168324594763887,0.14526406949630719,0.15387194921084843,0.15735856265473724,0.15677826975997547,0.15124057863933704,0.14628866522802192,0.15477022825639744,0.16054696612996647,0.15930876217743384,0.15940876146405467,0.1566118298753808,0.162276858348317,0.16850864829068246
