Hour,MOTOR A,MOTOR B,MOTOR C,MOTOR D,POWER ELECTRONICS,CONSTANT IMPEDANCE,CONSTANT CURRENT
0,0.07160904022744412,0.05914983487522219,0.029718844500552778,0.1552262604562736,0.13750356164677166,0.3927700166369545,0.15402244165678122
1,0.07433135511337702,0.06139094652517718,0.026692848237068294,0.16647041653501396,0.13082031277625616,0.3887426097874106,0.1515515110256969
2,0.07042136860743617,0.061005615740109626,0.02707493562583589,0.19234253994886813,0.12179690042351922,0.3873653177867332,0.1399933218674978
3,0.06706907798240429,0.06365278574709074,0.03025766950041661,0.22877184895807945,0.10280971615736047,0.37970066441432787,0.12773823724032063
4,0.06017193100960958,0.06689579529335339,0.03503621519308954,0.26911532947552314,0.10587847274256754,0.3451539712596341,0.11774828502622271
5,0.04881859152505554,0.06056374744415172,0.03760942889357898,0.2988249207552147,0.05426174881441592,0.4235797144091813,0.07634184815840186
6,0.04178042346694449,0.05581992748621719,0.0370372512372777,0.2682323088750433,0.06558538790265922,0.46216811007091724,0.06937659096094095
7,0.040193809363221464,0.06407213910784047,0.03596552083183045,0.23746617437268744,0.06831422073008414,0.4658912803636376,0.0880968552306984
8,0.04015861892278886,0.07058948462199595,0.03238962039026642,0.19950340360480961,0.08091519039437739,0.4558755352178033,0.1205681468479584
9,0.044025981607248584,0.0779196263506376,0.03170008511781649,0.16422694087810602,0.09212461375781766,0.45108401613228627,0.1389187361560874
10,0.04375052249829774,0.08136537361353399,0.03168838417179065,0.14853811055454177,0.0986377170655853,0.45433664614861186,0.14168324594763887
11,0.04411738480985688,0.08173936414390837,0.03492993466463672,0.13787698618489458,0.09926105621495965,0.4568112044854366,0.14526406949630719
12,0.04967291349428748,0.08552278553770143,0.038357283721760144,0.13627669510264082,0.099802950777344,0.4364954221554177,0.15387194921084843
13,0.04934504733945905,0.08680270881931976,0.0375171500310387,0.14034374432592017,0.10645610705001043,0.42217667977951456,0.15735856265473724
14,0.05335685032820238,0.0898341498801537,0.03796362213276585,0.1473821414460812,0.108715076629038,0.40596988982378335,0.15677826975997547
15,0.0553336687666973,0.08988256399638611,0.03982278515559851,0.16537565724549902,0.10231253614676968,0.39603221004971234,0.15124057863933704
16,0.05001716578873364,0.08565562531148943,0.038861767941188584,0.1606328027821059,0.10134588170538833,0.41719809124307217,0.14628866522802192
17,0.049298232595356505,0.07604333743755988,0.03778267899498788,0.1405686805073733,0.09972017219686499,0.44181667001145997,0.15477022825639744
18,0.044686538224544825,0.07270376207019458,0.036154477138647834,0.14156824613908525,0.0981125132702609,0.44622749702730025,0.16054696612996647
19,0.047289290492509406,0.07644786056240957,0.03622686238658346,0.1475583718927751,0.10196574311068668,0.43120310937760203,0.15930876217743384
20,0.04798478560154581,0.07311520164793275,0.03900366349010829,0.15574076015319527,0.10348494214447458,0.42126188549868865,0.15940876146405467
21,0.0500241234771497,0.07185888438990652,0.039595956356991466,0.1585248107087645,0.10383657700219286,0.419547818189614,0.1566118298753808
22,0.061544882040657146,0.0643611157069717,0.04123980184795851,0.14845006757188262,0.11350785272240628,0.40861942176180666,0.162276858348317
23,0.0671644960429341,0.06276491890489608,0.035377539565313754,0.15124504810738015,0.11888563165296595,0.39605371743582735,0.16850864829068246
