Component,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
MOTOR A,0.062118542000590755,0.06311705450716114,0.057907118276489235,0.05340873075035153,0.0576164248834365,0.03852819076519228,0.03258694993899573,0.032961287403466065,0.031951340374490315,0.037677453336322976,0.03738892806755035,0.03757357557799907,0.04377401776274269,0.043659293568076726,0.04769909853676763,0.050700594185553886,0.04542845713091897,0.04548783668377887,0.041438092597399445,0.04346816907239778,0.04415804784317158,0.04591507618784308,0.05671298445999853,0.0628422867407448
MOTOR B,0.05355590036996625,0.0553262888582815,0.05403588617661582,0.055955182539017455,0.06354860978014396,0.05353550970803101,0.04727010403602878,0.055618050321594704,0.0616440339005031,0.06926246781353342,0.07255058410901277,0.0729021651955396,0.07760191426713942,0.07930707202244966,0.08264918718623336,0.08388276471544015,0.08008214738986008,0.07169950357579462,0.06942639651474261,0.07303820364056146,0.06977640691727154,0.06866307768546936,0.0609970249468376,0.05994681635682791
MOTOR C,0.02858882152159831,0.025939256783541278,0.02665504670004428,0.03022613271426833,0.03433959012462811,0.038175828342724163,0.035949234022803464,0.034624813332634896,0.030749409620835895,0.030021974676427282,0.029802786059976254,0.03298053920596732,0.036764355910714135,0.035885993343034224,0.03657853190229772,0.03842461688295442,0.037491498702802536,0.03667741678078361,0.03518447481084653,0.03498644996597784,0.03747932784015369,0.03779960989608005,0.03937567843110954,0.03416595174793186
MOTOR D,0.15576754315198763,0.16750273739583238,0.19624323348432682,0.23602138669627662,0.2573786245635093,0.31297383983657096,0.2717702032525145,0.24060651891411527,0.20395200869538427,0.16742175814979562,0.1517543253369832,0.14157647284744299,0.13950687063394354,0.14318294889528319,0.15108170032069532,0.16750261683619067,0.16323968466873257,0.14300306825184395,0.1445258748725245,0.14993002755051868,0.15763497263817097,0.16000450924007628,0.1483015652166817,0.15121781546391455
POWER ELECTRONICS,0.1259197400622448,0.11648338598073613,0.1064924004794628,0.0863157588219378,0.11363447076183322,0.029655512371172633,0.054977978623632906,0.05870926384557269,0.07106264883062906,0.08330465355374177,0.08984324581186819,0.09040467011963482,0.09162320466923418,0.09901106902708925,0.10163839400571195,0.09596412603482114,0.09534934461763012,0.09537737447362753,0.09441289930328388,0.0973028569121619,0.09815811621320067,0.09796649971117694,0.10729403163186955,0.1129688961373103
CONSTANT IMPEDANCE,0.4347016530609289,0.4361837357289875,0.4385445344456123,0.4337165515952893,0.3602399250857665,0.4714094554795007,0.5068026918365064,0.5068448353335859,0.49797179877403697,0.48956074254209014,0.49326918170617684,0.49540169278473234,0.4712008173232899,0.45498076432193857,0.4364652418044111,0.4230246866741259,0.44249064910205715,0.4617041329839357,0.46211357920735946,0.4513491376398786,0.44266688230122314,0.4420963398058256,0.4342667770407601,0.4186628515071995
CONSTANT CURRENT,0.1393477998326833,0.1354475407454601,0.12012178043744881,0.10435625688285882,0.11324235480068229,0.05572166349680818,0.05064283828951815,0.0706352308490305,0.10266875980412031,0.12275094992808885,0.12539094890843244,0.12916088426868377,0.1395288194329362,0.14397285882212837,0.14388784624388293,0.14050059467091383,0.1359182183879985,0.1460506672502358,0.1528986826938436,0.14992515521850372,0.15012624624680837,0.14755488747352877,0.15305193827274305,0.160195382046071
