location,city,region,building_type,heat_pump,other_electric_heat,cooling,water_heating,cooking
ABI,Abilene TX,West South Central,commercial,0.1,0.3,0.81,0.47,0.25
ABI,Abilene TX,West South Central,residential,0.08,0.45,0.95,0.58,0.71
ALB,Albany NY,Middle Atlantic,commercial,0.09,0.06,0.89,0.41,0.31
ALB,Albany NY,Middle Atlantic,residential,0.03,0.11,0.88,0.31,0.43
AMA,Amarillo TX,West South Central,commercial,0.1,0.3,0.81,0.47,0.25
AMA,Amarillo TX,West South Central,residential,0.08,0.45,0.95,0.58,0.71
ATL,Atlanta GA,South Atlantic,commercial,0.27,0.2,0.91,0.62,0.3
ATL,Atlanta GA,South Atlantic,residential,0.24,0.32,0.95,0.72,0.78
AUS,Austin TX,West South Central,commercial,0.1,0.3,0.81,0.47,0.25
AUS,Austin TX,West South Central,residential,0.08,0.45,0.95,0.58,0.71
BDL,Hartford CT,New England,commercial,0.09,0.02,0.77,0.45,0.27
BDL,Hartford CT,New England,residential,0.03,0.1,0.75,0.36,0.59
BDR,Bridgeport CT,New England,commercial,0.09,0.02,0.77,0.45,0.27
BDR,Bridgeport CT,New England,residential,0.03,0.1,0.75,0.36,0.59
BFL,Bakersfield CA,Pacific,commercial,0.15,0.21,0.88,0.51,0.22
BFL,Bakersfield CA,Pacific,residential,0.07,0.25,0.66,0.32,0.53
BNA,Nashville TN,East South Central,commercial,0.17,0.23,0.88,0.59,0.31
BNA,Nashville TN,East South Central,residential,0.24,0.39,0.93,0.76,0.75
BOS,Boston MA,New England,commercial,0.09,0.02,0.77,0.45,0.27
BOS,Boston MA,New England,residential,0.03,0.1,0.75,0.36,0.59
BTW,Burlington VT,New England,commercial,0.09,0.02,0.77,0.45,0.27
BTW,Burlington VT,New England,residential,0.03,0.1,0.75,0.36,0.59
BUF,Buffalo NY,Middle Atlantic,commercial,0.09,0.06,0.89,0.41,0.31
BUF,Buffalo NY,Middle Atlantic,residential,0.03,0.11,0.88,0.31,0.43
BWI,Baltimore MD,South Atlantic,commercial,0.27,0.2,0.91,0.62,0.3
BWI,Baltimore MD,South Atlantic,residential,0.24,0.32,0.95,0.72,0.78
CHS,Charleston SC,South Atlantic,commercial,0.27,0.2,0.91,0.62,0.3
CHS,Charleston SC,South Atlantic,residential,0.24,0.32,0.95,0.72,0.78
CLE,Cleveland OH,East North Central,commercial,0.05,0.08,0.9,0.39,0.33
CLE,Cleveland OH,East North Central,residential,0.03,0.17,0.92,0.34,0.57
CLT,Charlotte SC,South Atlantic,commercial,0.27,0.2,0.91,0.62,0.3
CLT,Charlotte SC,South Atlantic,residential,0.24,0.32,0.95,0.72,0.78
CON,Concord NH,New England,commercial,0.09,0.02,0.77,0.45,0.27
CON,Concord NH,New England,residential,0.03,0.1,0.75,0.36,0.59
CRP,Corpus Christi TX,West South Central,commercial,0.1,0.3,0.81,0.47,0.25
CRP,Corpus Christi TX,West South Central,residential,0.08,0.45,0.95,0.58,0.71
CRW,Charleston WV,South Atlantic,commercial,0.27,0.2,0.91,0.62,0.3
CRW,Charleston WV,South Atlantic,residential,0.24,0.32,0.95,0.72,0.78
CYS,Cheyenne WY,Mountain,commercial,0.1,0.13,0.84,0.4,0.31
CYS,Cheyenne WY,Mountain,residential,0.08,0.19,0.78,0.31,0.67
DEN,Denver CO,Mountain,commercial,0.1,0.13,0.84,0.4,0.31
DEN,Denver CO,Mountain,residential,0.08,0.19,0.78,0.31,0.67
DFW,Dallas TX,West South Central,commercial,0.1,0.3,0.81,0.47,0.25
DFW,Dallas TX,West South Central,residential,0.08,0.45,0.95,0.58,0.71
