Component,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
MOTOR A,0.12952469497602714,0.1330569798533841,0.13443080485909747,0.14319128049284574,0.16473447756696727,0.17282350797414436,0.17012515773527276,0.12826765751781702,0.1632986856483466,0.21484333856996182,0.2447614460638006,0.2744970748998033,0.29156369095918083,0.2975720988590031,0.2963691358847948,0.2796676618060173,0.24648172219805692,0.20178424753170068,0.16622825535968058,0.14282881396555638,0.12654270256547379,0.10683872694738274,0.0999705769013702,0.10987095068753877
MOTOR B,0.08330477717942161,0.08504969464360844,0.08769482766665788,0.09281752204939178,0.09745013794578426,0.0976744958398066,0.1002457054364672,0.0922029976173674,0.09510957098178101,0.09970468326115825,0.09906974521856968,0.09699415539749183,0.09594687464468915,0.09607054326803727,0.09728399146200448,0.09672517980519639,0.09534366685181646,0.09152002127839502,0.08917752675874208,0.08868542316795583,0.08722837528281248,0.08557131198121354,0.08548549408366567,0.08691261791892765
MOTOR C,0.05213861100522976,0.04623946707456672,0.04669911539743257,0.046499567381732214,0.044759533182254736,0.0445612278251709,0.04994295984764599,0.049900922543212635,0.04946440870721039,0.05636887819135719,0.06261945242008683,0.06702128387527212,0.06929427564694107,0.06994753463162595,0.06962459362019935,0.0700491961674285,0.0704842268628698,0.06824096103861835,0.06830911360979855,0.07269853320564944,0.07467177166472616,0.07640563182002433,0.07453964614268663,0.0682684594656695
MOTOR D,0.29229222280659106,0.2788298165435974,0.29073355441176457,0.2903695869378245,0.24490141942112215,0.21841846084096475,0.22165879937354252,0.24424303485374008,0.1775046632634615,0.14808098779065787,0.15205870177213712,0.14384643799657093,0.1497971194175863,0.14532397334772337,0.1484156735505882,0.16884903405242407,0.2097481727270817,0.24032835811965014,0.28269790804214867,0.3531345361335998,0.372995326548203,0.39634688427160564,0.41188823225036714,0.39225590506196206
POWER ELECTRONICS,0.13703914652504132,0.14151436126748093,0.1333968214478625,0.11726127725976401,0.1292453948975385,0.12219188858696317,0.11781074688439588,0.09428508513591975,0.11061525023858944,0.12735082305554637,0.13167164812391546,0.13892901393438584,0.14168468013608979,0.14417617158103965,0.14378383254784044,0.13855194235261192,0.12505372713385032,0.11033739532435177,0.09853548759646238,0.08984668458278074,0.08893704782467632,0.0877644936692069,0.08812084313563426,0.09754728330868635
CONSTANT IMPEDANCE,0.1713517914829866,0.16951793493182662,0.15858244502095514,0.14780270647532792,0.13054109434330566,0.17605642554028267,0.191807206611267,0.26928482644769497,0.26942896416361906,0.21811536962279862,0.18466028714249236,0.16149540133219367,0.14131217302255375,0.13704094162608094,0.13407293778831958,0.13882624161981047,0.14861123427153775,0.17738487791869395,0.18384810815517272,0.15158315715343001,0.15176778452851797,0.1539819110254091,0.14619458227670967,0.13868175495780233
CONSTANT CURRENT,0.13434875602470248,0.1457917456855357,0.14846243119623,0.16205805940311377,0.18836794264302742,0.16827399339266758,0.14840942411140876,0.12181547588424801,0.13457845699699197,0.13553591950851968,0.12515871925899794,0.11721663256428236,0.11040118617295909,0.10986873668648986,0.1104498351462532,0.1073307441965113,0.10427724995478711,0.11040413878859014,0.11120360047799513,0.10122285179102791,0.09785699158559034,0.09309104028515774,0.09380062520956643,0.10646302859941342
