Hour,MOTOR A,MOTOR B,MOTOR C,MOTOR D,POWER ELECTRONICS,CONSTANT IMPEDANCE,CONSTANT CURRENT
0,0.15292049028408883,0.08366231510531279,0.06635206179181423,0.3742807706653981,0.1290199558597832,0.10675114612650793,0.08701326016709482
1,0.15835016836055715,0.0825300274672939,0.059594097893420066,0.3405056275861393,0.14853257848615223,0.11352801467345881,0.09695948553297856
2,0.1735055280540628,0.08447950882571188,0.05593139764242327,0.3054998191617632,0.15329446057843452,0.1133727800073425,0.11391650573026181
3,0.2071614276911707,0.09610941604545213,0.05840934381333172,0.30408307954544517,0.11744549631327872,0.071596100862045,0.1451951357292764
4,0.23206928761792148,0.09452973862696759,0.05379115488517382,0.22924889945498889,0.13464705871816843,0.091359449435496,0.1643544112612838
5,0.27521545081770854,0.10044513600396927,0.05575275139981609,0.17974745664391797,0.1378869975562174,0.08789824941554815,0.16305395816282253
6,0.3055357755670659,0.099898482433374,0.058315926342088355,0.12803276829034752,0.15888182792863062,0.10509226671754159,0.14424295272095197
7,0.32653256038686834,0.09461502871421311,0.06393760211395662,0.11017096978002477,0.16671127437547462,0.1143409454822801,0.1236916191471823
8,0.3488173118870524,0.09351331676325557,0.07120403485075547,0.12221048092454667,0.16256387195615177,0.09761264366129761,0.10407833995694059
9,0.36303383799310385,0.0904188332622025,0.07475042659705859,0.12447067107375297,0.1658403532464175,0.09056501125498505,0.09092086657247962
10,0.3744082625030896,0.09005322209962321,0.07817248929351897,0.13210983956292843,0.15917375073034956,0.07952807238150923,0.086554363428981
11,0.38154605556555665,0.08870798374170073,0.0800454698570807,0.14018430366357104,0.15673101038205495,0.07238053678181833,0.08040464000821773
12,0.37957547552069026,0.08807075829306549,0.07995977469825562,0.15199755957584152,0.15538959132396526,0.0687013455900051,0.07630549499817675
13,0.36610611375180413,0.08818313039275356,0.08160571971253078,0.1786122536024163,0.14979826162822954,0.06478191133641077,0.07091260957585477
14,0.346438615115303,0.08863709763276524,0.08187654499519001,0.20876260794040538,0.14281379204026712,0.06422530608250974,0.06724603619355944
15,0.31670039784189546,0.08964543159582347,0.08200675585181616,0.24137788277639613,0.1347848038168917,0.06898892990179994,0.06649579821537716
16,0.2751671482201976,0.08911428223578262,0.08267716455977861,0.29744319606826464,0.12273801674562025,0.07147123430786043,0.061388957862495874
17,0.23192435116935534,0.08855800859069689,0.08210647283750608,0.34425419823855335,0.10991040080675586,0.08037617143987809,0.06287039691725449
18,0.20594633815822608,0.0876970115458014,0.08285446263716359,0.37876816933714974,0.10202945812968266,0.07985923203237122,0.06284532815960531
19,0.18094773304785058,0.08637880705009084,0.08328145129097889,0.41143073337200314,0.09467522057355783,0.07856276318816623,0.06472329147735256
20,0.1737764943316725,0.08528489895740814,0.08423651161303469,0.41396966229334675,0.09316460341467632,0.08512054659202038,0.06444728279784111
21,0.15168634726682662,0.08349055280522151,0.08418303302619722,0.4230907890149053,0.09178871578892225,0.10061309746316839,0.0651474646347588
22,0.1428713641753716,0.08461260419523271,0.08179697102796818,0.43712576870108305,0.09269972676921119,0.09507099822773775,0.06582256690339541
23,0.15054806085794104,0.0853521978210087,0.07579053954056937,0.41334534966255077,0.10288877323888135,0.09589560027331641,0.07617947860573236
