building_type,component,heating,cooling,ventilation,hotwater,cooking,refrigeration,exterior_lights,interior_lights,office_equipment,miscellaneous,process,motors,air_compressors,computer,dryer,entertainment,freezer,lights,other,oven,plugs,washer
commercial,motor_a,0,0.65,0,0,0,0.8,0,0,0,0,0,0,1,,,,,,,,,
commercial,motor_b,0,0.05,0.7,0,0,0.1,0,0,0,0,0.3,1,0,,,,,,,,,
commercial,motor_c,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,,,,,,,,,
commercial,motor_d,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
commercial,power_electronics,0,0.2,0.3,0,0,0,0,0,1,0,0.3,0,0,,,,,,,,,
commercial,constant_impedance,1,0,0,1,1,0,0,0,0,1,0.4,0,0,,,,,,,,,
commercial,constant_current,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,
office,motor_a,0,0,0,0,0,0.8,0,0,0,0,0,0,1,,,,,,,,,
office,motor_b,0,0.6,0.5,0,0,0.1,0,0,0,0,0,1,0,,,,,,,,,
office,motor_c,0,0.15,0,0,0,0.1,0,0,0,0,0,0,0,,,,,,,,,
office,motor_d,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
office,power_electronics,0,0.25,0.5,0,0,0,0,0,1,0,1,0,0,,,,,,,,,
office,constant_impedance,1,0,0,1,1,0,0,0,0,1,0,0,0,,,,,,,,,
office,constant_current,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,
lodging,motor_a,0,0.35,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
lodging,motor_b,0,0.15,0.9,0,0,0,0,0,0,0,0.3,1,0,,,,,,,,,
lodging,motor_c,0,0.1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
lodging,motor_d,0,0.35,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,
lodging,power_electronics,0,0.05,0.1,0,0,0,0,0,1,0,0.3,0,0,,,,,,,,,
lodging,constant_impedance,1,0,0,1,1,0,0,0,0,1,0.4,0,0,,,,,,,,,
lodging,constant_current,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,
residential,motor_a,0,0,,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0
residential,motor_b,0,0.1,,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0
residential,motor_c,0,0.1,,0,,0,,,,,,,,0,0.4,0,0,0,0,0,0.1,1.0
residential,motor_d,0.1,0.8,,0,,1.0,,,,,,,,0,0,0,1.0,0,0,0,0,0
residential,power_electronics,0,0,,0,,0,,,,,,,,1.0,0,1.0,0,0,0.5,0,0.1,0
residential,constant_impedance,0.9,0,,0,,0,,,,,,,,0,0.6,0,0,1.0,0.5,1.0,0.8,0
residential,constant_current,0,0,,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0
