location,airport,source,city,zipcode,latitude,longitude,elevation,timezone,dst
ABI,KABI,NOAA,Abilene TX,79602,32.4113333,-99.6818889,545.8,-6,1
ALB,KALB,NOAA,Albany NY,12110,42.7491111,-73.8019722,86.8,-5,1
AMA,KAMA,NOAA,Amarillo TX,79108,35.2193611,-101.7059167,1099.3,-6,1
ATL,KATL,NOAA,Atlanta GA,30304,33.6366996,-84.4278640,312.8,-5,1
AUS,KAUS,NOAA,Austin TX,78719,30.1945272,-97.6698761,165.0,-6,1
BDL,KBDL,NOAA,Hartford CN,06096,41.9391389,-72.6833611,52.8,-5,1
BDR,KBDR,NOAA,Bridgeport CN,06615,41.1634722,-73.1261667,2.6,-5,1
BFL,KBFL,NOAA,Bakersfield CA,93308,35.4338611,-119.0576667,155.3,-8,1
BNA,KBNA,NOAA,Nashville TN,37217,36.1244750,-86.6781806,182.6,-5,1
BOS,KBOS,NOAA,Boston MA,02128,42.3629444,-71.0063889,5.8,-5,1
BTW,KBTV,NOAA,Burlingon VT,05403,44.4719550,-73.1532761,102.0,-5,1
BUF,KBUF,NOAA,Buffalo NY,14225,42.9404167,-78.7305833,221.6,-5,1
BWI,KBWI,NOAA,Baltimore MD,21240,39.1757283,-76.6689911,43.7,-5,1
CHS,KCHS,NOAA,Charleston SC,29404,32.8986389,-80.0405278,14.0,-5,1
CLE,KCLE,NOAA,Cleveland OH,44135,41.4094167,-81.8546944,243.7,-5,1
CLT,KCLT,NOAA,Charlotte NC,28208,35.2137500,-80.9490556,228.0,-5,1
CON,KCON,NOAA,Concord NH,03301,43.2027222,-71.5022778,104.2,-5,1
CRP,KCRP,NOAA,Corpus Christi TX,78406,27.7721944,-97.5024167,14.1,-6,1
CRW,KCRW,NOAA,Charleston WV,25311,38.3760126,-81.5928929,288.7,-5,1
CYS,KCYS,NOAA,Cheyenne WY,82001,41.1556389,-104.8104722,1877.5,-7,1
DEN,KDEN,NOAA,Denver CO,80249,39.8616667,-104.6731667,1656.2,-7,1
DFW,KDFW,NOAA,Dallas TX,75261,32.8972316,-97.0376949,185.0,-6,1
DLH,KDLH,NOAA,Duluth MN,55811,46.8420698,-92.1932372,435.2,-6,1
DTW,KDTW,NOAA,Detroit MI,48242,42.2124444,-83.3533889,196.7,-5,1
ECG,KECG,NOAA,Elizabeth City NC,27909,36.2605833,-76.1745556,3.2,-5,1
FAR,KFAR,NOAA,Fargo ND,58102,46.9206389,-96.8157500,274.7,-6,1
GAI,KMGM,NOAA,Montgomery AL,36043,32.3006389,-86.3939722,67.4,-6,1
GEI,KGEG,NOAA,Spokane WA,99224,47.6190278,-117.5352222,726.9,-8,1
GRB,KGRB,NOAA,Green Bay WI,54313,44.4846336,-88.1297133,211.9,-6,1
IAH,KIAH,NOAA,Houston TX,77396,29.9844353,-95.3414425,29.2,-6,1
JAX,KJAX,NOAA,Jacksonville FL,32218,30.4940556,-81.6878333,8.9,-5,1
LAX,KLAX,NOAA,Los Angeles CA,90009,33.9424964,-118.4080486,39.0,-8,1
LIT,KLIT,NOAA,Little Rock AR,72202,34.7294444,-92.2247778,81.1,-6,1
MAG,KMAF,NOAA,Midland TX,79706,31.9425278,-102.2019167,875.4,-6,1
MCI,KMCI,NOAA,Kansas City MO,64153,39.2976111,-94.7138889,313.0,-6,1
MIA,KMIA,NOAA,Miami FL,33126,25.7953611,-80.2901158,2.8,-5,1
MKE,KMKE,NOAA,Milwaukee WI,53207,42.9469319,-87.8970644,222.0,-6,1
MSG,KMSN,NOAA,Madison WI,53704,43.1398791,-89.3375045,270.2,-6,1
MSP,KMSP,NOAA,Minneapolis MN,55450,44.8819722,-93.2217778,256.6,-6,1
MSY,KMSY,NOAA,New Orleans LA,70062,29.9932778,-90.2590278,1.1,-6,1
NYC,KLGA,NOAA,New York City NY,11371,40.7772500,-73.8726111,6.3,-5,1
OKC,KOKC,NOAA,Oklahoma City OK,73179,35.3930740,-97.6007617,395.0,-6,1
OMA,KOMA,NOAA,Omaha NE,68110,41.3031667,-95.8940556,300.1,-6,1
ONT,KONT,NOAA,Ontario CA,91761,34.0560000,-117.6011944,287.7,-8,1
ORG,KORD,NOAA,Chicago IL,60018,41.9745219,-87.9065972,207.3,-6,1
ORH,KORH,NOAA,Worcester MA,01602,42.2671389,-71.8756111,307.5,-5,1
PBG,KPBG,NOAA,Plattsburg NY,12901,44.6509444,-73.4681389,71.4,-5,1
PDX,KPDX,NOAA,Portland OR,97218,45.5887089,-122.5968694,9.4,-8,1
PHL,KPHL,NOAA,Philadelphia PA,19113,39.8720839,-75.2406631,10.9,-5,1
PHX,KPHX,NOAA,Phoenix AZ,85034,33.4342778,-112.0115833,345.9,-7,0
PIT,KPIT,NOAA,Pittsburgh PA,15231,40.4914167,-80.2326944,366.6,-5,1
PSP,KPSP,NOAA,Palm Springs CA,92262,33.8296667,-116.5066944,145.2,-8,1
PVD,KPVD,NOAA,Providence RI,02886,41.7223333,-71.4277222,16.5,-5,1
PWM,KPWM,NOAA,Portland ME,04102,43.6456435,-70.3086164,23.1,-5,1
RST,KRST,NOAA,Rochester NY,55902,43.9082778,-92.5000278,401.5,-6,1
SAT,KSAT,NOAA,San Antonio TX,78216,29.5339580,-98.4690571,246.6,-6,1
SDF,KSDF,NOAA,Louisville KY,40213,38.1740858,-85.7364989,152.6,-5,1
SEA,KSEA,NOAA,Seattle WA,98188,47.4498889,-122.3117778,131.8,-8,1
SFO,KSFO,NOAA,San Francisco CA,94128,37.6188056,-122.3754167,4.0,-8,1
SLC,KSLC,NOAA,Salt Lake City UT,84116,40.7883933,-111.9777733,1289.6,-7,1
SMF,KSMF,NOAA,Sacramento CA,95837,38.6954444,-121.5907778,8.2,-8,1
SPS,KSPS,NOAA,Wichita Falls TX,76311,33.9888028,-98.4919028,310.6,-6,1
STL,KSTL,NOAA,St Louis MO,63134,38.7486972,-90.3700289,188.4,-6,1
SYR,KSYR,NOAA,Syracuse NY,13211,43.1111944,-76.1063056,128.4,-5,1
TYR,KTYR,NOAA,Tyler TX,75704,32.3535556,-95.4029722,165.8,-6,1
UCA,6B4,NOAA,Utica NY,13340,43.0161069,-75.1695417,404,-5,1
YFC,CYFC,NCEI,Fredericton NB,E3B9G1,45.87,-66.54,20.6,-4,1
YHZ,CYHZ,NCEI,Halifax NS,B2T1E4,44.88,-63.51,146.8,-4,1
YOW,CYOW,NCEI,Ottawa ON,K1V2E7,45.32,-75.67,116.0,-5,1
YQB,CYQB,NCEI,Quebec City QC,G2G0B2,46.79,-71.39,75.1,-5,1
YQT,CYQT,NCEI,Thunder Bay ON,P7E6S2,48.37,-89.32,201.2,-5,1
YSB,CYSB,NCEI,Sudbury ON,P3L1V4,46.63,-80.8,351.7,-5,1
YUL,CYUL,NCEI,Montreal QC,H4Y1H1,45.47,-73.74,36.3,-5,1
YUY,CYUY,NCEI,Rouyn Noranda QC,J9X5B7,48.21,-78.83,304.0,-5,1
YYC,CYYC,NCEI,Calgary AB,T2E6W5,51.12,-114.01,1109.5,-7,1
YYZ,CYYZ,NCEI,Toronto ON,L4W1S9,43.68,-79.63,175.1,-5,1
YZV,CYZV,NCEI,SeptIles QC,G4R4K2,50.23,-66.27,55.4,-5,1
